result,material_balance,piece_mobility,control_of_center_small,control_of_center_large
1-0,-2,21,-10,-30
1-0,4,20,-10,-20
0-1,3,36,20,10
0-1,-2,53,0,-10
0-1,-4,40,-10,-20
1-0,1,52,20,-10
1-0,-1,23,10,0
1-0,-1,6,10,0
1/2-1/2,-1,36,10,10
1/2-1/2,3,36,0,0
1/2-1/2,-7,28,-10,-30
1/2-1/2,-1,9,-10,-20
1/2-1/2,2,4,-10,-20
1-0,-1,33,0,0
1-0,7,18,10,0
1-0,11,5,0,0
1-0,4,5,-10,10
1-0,13,16,-10,0
1-0,1,32,0,30
1-0,-1,53,10,10
1-0,3,26,20,20
1-0,2,16,0,-10
1-0,4,13,0,20
1-0,3,12,0,0
0-1,-9,29,10,20
0-1,-9,26,10,20
0-1,-10,60,0,-10
0-1,-13,25,0,0
0-1,-17,14,0,0
0-1,1,30,0,20
0-1,1,34,10,0
0-1,-3,5,0,0
1-0,1,4,10,0
1-0,9,18,10,0
1-0,11,14,10,-20
1-0,19,2,10,-10
1-0,20,0,0,10
1-0,1,33,-10,-10
1-0,3,0,-10,-10
0-1,3,41,10,0
0-1,-2,40,10,-20
0-1,-6,40,0,-10
0-1,-9,0,0,0
1-0,1,28,-10,-20
1-0,13,3,-10,-10
1-0,1,0,0,0
1-0,1,34,-10,10
0-1,-1,27,-10,-10
0-1,2,38,0,20
0-1,5,1,-10,0
0-1,11,6,0,20
0-1,11,24,0,10
0-1,-1,42,10,-20
0-1,-1,0,0,-20
0-1,-2,27,10,20
0-1,-5,32,10,10
0-1,-4,20,0,0
0-1,1,0,0,0
0-1,3,28,0,20
0-1,2,18,-10,-10
0-1,1,12,-10,0
0-1,2,13,-10,0
0-1,10,25,0,0
0-1,-4,40,10,10
0-1,-3,26,10,10
0-1,-14,28,10,20
0-1,-16,0,-10,0
1-0,4,42,-10,-20
1-0,11,25,-10,-10
1-0,21,7,0,20
1-0,3,33,-10,0
1-0,1,54,-10,0
1-0,2,30,0,0
1-0,1,18,-10,-20
1-0,9,9,-10,-10
1-0,-2,27,10,10
1-0,1,37,-10,0
1-0,4,25,10,10
1-0,-1,36,-20,-30
1-0,4,42,0,0
1-0,6,3,0,-10
1-0,5,28,0,10
1-0,9,16,0,10
0-1,-1,45,-20,-30
0-1,-2,38,-10,-20
0-1,-3,44,0,10
0-1,-3,42,10,-10
0-1,-3,0,10,0
1-0,2,29,0,0
1-0,-1,0,10,0
0-1,2,57,0,-10
0-1,-11,17,0,10
1-0,3,32,-10,0
1-0,-2,33,20,20
1-0,1,23,0,20
1-0,7,31,0,0
1-0,14,24,-10,-30
1-0,1,32,20,40
1-0,4,39,20,30
1-0,4,3,10,20
1-0,-1,37,0,0
1-0,9,27,-10,0
1-0,1,7,-10,-20
1-0,4,3,10,10
1-0,6,21,10,0
0-1,3,33,0,30
0-1,3,33,0,20
0-1,3,40,20,20
0-1,1,29,10,30
0-1,9,0,0,10
0-1,3,33,0,20
1-0,2,28,20,30
1-0,-1,36,10,10
1-0,5,29,20,20
1-0,5,4,20,30
0-1,-1,35,0,0
0-1,-2,40,-20,-10
0-1,-2,32,-10,20
0-1,-1,33,-10,-10
0-1,-10,26,0,-10
0-1,-18,0,0,0
1-0,5,5,-10,-10
1-0,13,0,10,20
0-1,9,32,10,0
0-1,4,6,0,10
0-1,-14,3,10,-20
0-1,-23,5,-10,-30
1-0,-2,43,10,-10
1-0,-4,30,10,0
1-0,-1,4,-10,-10
1-0,4,30,0,-10
1-0,4,25,0,20
1-0,11,12,0,10
1-0,9,4,20,40
1-0,1,36,0,-10
1-0,-1,44,0,-10
1-0,1,22,-20,-10
1-0,1,38,0,10
1-0,1,26,-10,-20
1-0,1,15,0,-10
1-0,1,17,0,10
1-0,1,6,-10,-20
0-1,-3,37,-10,20
0-1,-6,23,-20,-20
0-1,-6,20,-10,-20
0-1,-3,10,-10,-30
0-1,-3,4,-20,-20
1-0,1,26,10,0
1-0,4,31,0,20
1-0,3,22,-20,-20
1-0,5,16,-10,10
1-0,1,46,-10,-20
1-0,12,29,-10,-10
1-0,8,4,-10,-10
1/2-1/2,-2,41,10,30
1/2-1/2,-2,40,0,0
1/2-1/2,1,15,-10,0
1/2-1/2,1,14,10,10
1/2-1/2,-4,19,0,-10
1-0,5,26,20,0
1-0,1,17,20,20
1-0,10,2,20,30
1-0,10,0,20,30
1/2-1/2,2,34,10,20
1/2-1/2,6,5,10,20
1/2-1/2,-1,15,0,10
1/2-1/2,-1,3,0,-20
1/2-1/2,-1,25,0,0
1/2-1/2,-4,29,0,-10
0-1,1,29,10,30
0-1,-3,42,10,10
0-1,-12,0,10,10
0-1,-4,29,-10,-30
0-1,-3,36,0,-20
0-1,5,5,-10,-10
0-1,3,31,0,-20
0-1,3,25,-10,-20
0-1,4,16,0,10
0-1,2,6,0,10
0-1,2,11,0,10
1-0,1,39,10,10
1-0,1,40,10,-20
1-0,13,25,10,0
1-0,14,18,10,20
0-1,-1,36,10,20
0-1,-6,34,0,40
0-1,-8,33,0,30
0-1,-8,1,0,30
1-0,1,48,10,0
1/2-1/2,-1,32,-10,10
1/2-1/2,-2,25,-10,-30
1/2-1/2,2,18,0,-10
1/2-1/2,6,4,0,0
1/2-1/2,15,4,0,-10
1/2-1/2,10,29,0,0
0-1,-4,28,0,-10
0-1,-4,26,0,0
0-1,-3,6,0,0
0-1,-3,17,0,-20
0-1,-3,0,0,-20
1-0,7,24,0,10
1-0,-1,35,10,30
1-0,-2,4,10,10
1-0,4,22,10,0
1-0,4,23,20,10
1-0,2,44,10,30
1-0,7,1,20,10
1-0,-2,33,20,0
1-0,-3,35,-10,-20
1-0,-4,39,10,30
1-0,-2,3,10,0
1-0,2,2,10,10
0-1,3,36,0,10
0-1,-7,39,-20,-20
1-0,3,30,10,20
0-1,-4,21,0,10
0-1,-5,20,0,0
1-0,9,23,0,0
1-0,9,1,0,10
1-0,4,30,10,40
0-1,-6,49,-20,-20
0-1,-9,35,-10,0
0-1,-10,2,-10,-30
0-1,-16,38,-10,-30
0-1,-16,0,-10,-30
1-0,1,17,10,20
1-0,2,10,0,-20
1-0,2,10,10,10
1-0,-2,3,-10,-10
1-0,1,5,0,-10
0-1,4,34,10,20
0-1,1,29,0,-10
0-1,-1,7,10,0
0-1,-1,8,0,0
1-0,-4,30,0,20
1-0,-1,22,10,20
1-0,-2,24,0,0
1-0,-2,36,-20,-20
1-0,3,9,-10,0
1-0,-1,25,20,20
1-0,1,36,10,30
1-0,-2,0,10,0
0-1,1,44,0,10
0-1,12,31,0,-10
0-1,13,46,-10,-10
1-0,-3,28,10,10
1-0,-3,25,0,0
1-0,-7,43,0,10
1/2-1/2,-1,32,10,0
1/2-1/2,1,31,-20,-20
1/2-1/2,-1,18,0,10
1/2-1/2,-2,28,0,0
1/2-1/2,3,5,0,-20
1/2-1/2,4,2,10,10
1/2-1/2,17,0,0,0
1-0,-1,32,0,-30
1-0,1,21,0,-30
1-0,7,2,-20,-30
1-0,8,1,-20,-10
1-0,7,27,30,20
1-0,8,25,0,10
1-0,8,10,10,10
1-0,8,9,0,-10
1-0,7,6,0,10
1-0,16,0,0,10
1-0,1,3,10,0
1-0,5,3,0,10
0-1,1,39,0,-20
0-1,1,42,10,0
0-1,6,37,10,10
0-1,2,19,0,20
0-1,1,16,-10,-10
0-1,-5,43,0,10
0-1,-5,0,0,10
0-1,-1,33,-20,-30
0-1,7,31,-10,-10
0-1,-11,0,0,0
1-0,1,34,0,0
1-0,-4,40,0,-20
0-1,-3,24,0,0
0-1,-3,25,0,-10
0-1,-4,1,0,20
0-1,-5,22,0,0
1-0,1,24,0,-10
1-0,1,4,10,0
1-0,2,14,-10,0
1-0,2,19,0,-20
1/2-1/2,-3,41,0,-10
1/2-1/2,-1,28,10,20
1/2-1/2,-1,19,0,-10
1/2-1/2,-2,7,10,10
1/2-1/2,-2,20,0,-20
1/2-1/2,-2,5,0,-10
1/2-1/2,-2,29,20,20
1/2-1/2,-2,17,10,40
1/2-1/2,3,9,0,20
1/2-1/2,3,7,0,0
1-0,9,19,10,-10
1-0,6,0,10,-10
1-0,2,33,10,20
1-0,10,1,0,0
0-1,3,31,0,10
0-1,-1,41,10,10
0-1,-1,51,10,10
1-0,2,5,0,-30
1-0,9,2,-20,0
0-1,-3,22,20,0
1-0,1,4,-10,-20
1-0,4,26,0,0
1-0,3,37,0,30
1-0,2,39,-10,-10
1-0,6,16,20,20
1-0,6,16,20,20
1-0,-3,41,0,20
1-0,3,0,10,10
0-1,1,1,-10,10
0-1,3,43,0,0
0-1,-1,43,0,-10
0-1,-2,30,10,0
0-1,-2,0,20,10
0-1,-1,48,0,10
0-1,-2,23,0,-10
0-1,-1,12,-20,-20
0-1,-4,3,0,-10
1-0,1,26,20,10
1-0,4,38,0,0
1-0,5,30,0,-10
1-0,15,3,10,10
1-0,15,0,0,0
1-0,1,37,10,10
1-0,1,4,0,-20
1-0,2,4,0,0
1-0,2,26,0,20
1-0,3,6,0,10
1-0,5,8,0,20
1-0,9,28,10,0
1-0,10,33,-10,-10
0-1,1,34,-10,10
0-1,1,29,-10,10
0-1,1,4,10,10
0-1,3,4,10,0
0-1,6,15,0,10
0-1,6,26,0,10
0-1,1,42,-20,-10
0-1,-7,25,-20,-10
0-1,-1,39,-10,-10
0-1,-3,46,-10,-30
0-1,-17,49,-10,-20
0-1,-19,0,-10,-40
0-1,3,37,0,0
0-1,-5,33,-10,0
1-0,-2,6,20,10
1-0,8,19,-10,-10
1-0,-2,0,10,-10
0-1,3,45,-10,-10
0-1,-5,36,0,-10
0-1,-9,31,-10,-40
0-1,-10,22,0,0
0-1,-8,5,0,-20
0-1,-1,40,10,10
0-1,-10,20,0,-20
0-1,-6,38,0,0
0-1,-6,33,0,0
1-0,-2,26,10,0
1-0,-4,25,0,0
1-0,-12,34,0,20
1-0,-3,40,10,-10
1-0,-2,19,0,-10
1-0,4,6,10,20
1-0,5,5,10,20
0-1,-1,33,10,-10
1-0,-4,49,-10,-50
1-0,-4,45,-10,-20
1-0,-7,17,0,-10
1-0,-1,19,0,-30
1-0,4,29,10,0
1-0,5,31,10,10
1-0,10,30,10,20
1-0,9,9,0,10
1-0,9,7,0,10
1-0,1,27,-10,-10
1-0,2,31,-20,-20
1-0,2,29,-20,-30
1-0,5,21,-10,-10
1-0,5,9,-10,-30
1-0,7,7,-10,-10
1-0,9,35,-10,0
1-0,6,29,10,10
1-0,-2,38,20,30
1-0,9,1,0,0
1-0,3,14,0,0
0-1,8,24,-10,10
1-0,-2,19,-10,-20
0-1,-1,45,0,0
0-1,-6,4,0,-30
1-0,-3,29,0,-10
1-0,-3,2,0,-10
1-0,13,5,10,0
1-0,25,0,0,-10
1-0,-2,30,0,0
1-0,-2,40,-20,-20
1-0,-3,33,0,10
1-0,-3,0,0,0
1-0,1,4,10,10
1-0,1,25,10,0
1-0,6,1,0,0
1-0,1,18,0,10
0-1,-4,37,0,0
0-1,-13,33,10,-10
0-1,-15,49,0,0
0-1,-19,46,10,20
0-1,-19,0,0,10
1-0,-1,33,-10,20
1-0,-5,35,0,10
1-0,-4,33,0,20
1-0,-1,12,0,0
1-0,-8,16,0,0
1-0,-3,24,10,10
1-0,12,6,10,20
1-0,20,1,0,30
1-0,20,0,10,20
1-0,-2,30,0,40
1-0,1,52,20,40
1-0,6,38,-10,-40
1-0,2,25,-20,-60
1-0,1,20,-10,-30
1-0,2,6,-20,-20
1-0,6,28,-10,-10
1-0,11,1,0,0
1-0,10,0,10,10
0-1,-1,31,10,10
0-1,-1,34,10,10
0-1,1,35,10,10
0-1,1,20,10,0
0-1,5,28,0,-10
0-1,-1,33,-10,-30
0-1,-2,26,-10,-40
0-1,-7,32,-10,-20
0-1,2,15,0,10
0-1,-2,7,0,10
0-1,-1,2,10,30
1-0,1,38,0,10
1-0,4,27,0,10
1-0,2,19,10,20
1-0,-2,23,0,0
1-0,2,12,0,0
1-0,9,3,0,-10
1-0,9,5,0,0
0-1,-1,34,-10,-20
0-1,-1,45,-10,-30
0-1,-3,31,0,10
0-1,-1,19,-10,-20
0-1,-3,16,-10,-10
0-1,-3,16,10,-20
0-1,-3,8,-10,-30
1-0,5,50,-10,10
1-0,5,35,0,0
1-0,6,36,20,20
1-0,7,27,20,20
0-1,-2,39,10,20
0-1,-5,48,0,10
0-1,-6,33,-10,0
0-1,1,33,10,10
0-1,-1,41,0,10
0-1,-5,41,0,-20
0-1,-8,21,-10,-10
1-0,-1,31,-10,-20
1-0,-4,5,-10,-10
1-0,-4,2,-10,0
1-0,-1,35,0,10
1-0,1,28,10,10
1-0,2,28,0,0
1-0,3,21,0,10
1-0,1,46,10,-10
1-0,2,40,0,-20
1-0,5,18,0,-10
1-0,6,16,0,0
1-0,18,0,0,0
1-0,3,31,10,10
1-0,5,34,20,20
1-0,-1,18,0,-30
1-0,4,5,-10,0
1-0,4,5,0,0
1-0,1,34,10,30
1-0,-1,38,10,0
1-0,9,9,0,10
0-1,-6,30,-10,-10
0-1,-5,6,20,10
0-1,1,19,10,20
0-1,1,13,-10,0
0-1,2,12,0,0
1-0,1,39,20,20
1-0,1,37,10,20
1-0,1,43,0,20
1-0,7,6,10,20
1-0,9,24,-10,-10
1-0,5,4,-20,-30
1-0,6,17,0,10
1-0,12,3,0,0
1-0,10,29,0,30
1-0,7,18,10,30
1-0,8,0,10,30
1-0,4,34,20,30
0-1,3,38,-10,0
0-1,-2,42,-10,-20
0-1,-4,6,-10,-20
0-1,-1,3,10,30
0-1,-3,13,0,-10
0-1,-5,12,0,-20
0-1,-21,36,0,-20
0-1,-21,0,-10,-20
0-1,-1,44,-10,-30
0-1,2,47,10,-10
0-1,2,23,10,-30
0-1,2,3,-10,-40
0-1,5,20,0,0
0-1,1,17,-10,0
1-0,3,42,10,-10
1-0,6,30,10,10
1-0,6,29,20,10
1/2-1/2,1,29,10,20
1/2-1/2,5,25,10,30
1/2-1/2,4,17,10,30
1/2-1/2,2,15,10,10
1/2-1/2,2,16,0,10
1/2-1/2,2,15,0,10
0-1,-1,0,0,0
1-0,3,23,0,-10
1-0,3,0,0,-20
1-0,1,32,10,10
1-0,-3,1,-10,-30
1-0,3,33,10,30
1-0,3,36,20,20
1-0,4,48,0,0
1-0,1,26,20,20
1-0,3,39,0,-10
0-1,-1,48,-10,-30
0-1,-3,35,0,-10
0-1,-7,20,0,10
0-1,-10,23,0,10
0-1,-10,1,0,0
1/2-1/2,1,28,0,30
1/2-1/2,2,31,-10,-10
1/2-1/2,4,29,10,0
1/2-1/2,4,17,-10,-20
1/2-1/2,2,7,-10,-20
0-1,-6,3,0,10
0-1,-6,17,0,10
1-0,4,23,-10,0
1-0,1,37,10,30
1-0,-1,6,10,20
1-0,3,12,10,20
0-1,5,0,-10,-20
0-1,2,42,0,-10
0-1,2,44,0,0
0-1,-6,34,10,10
0-1,-5,3,-10,-20
1-0,5,27,0,-30
0-1,1,20,0,0
0-1,-2,39,-10,0
0-1,-6,32,-10,-10
0-1,-12,0,0,-20
1-0,-1,33,20,10
1-0,3,21,20,10
1-0,3,13,0,0
0-1,-4,23,0,-10
0-1,-6,25,0,-10
0-1,-12,10,0,0
0-1,1,35,10,30
0-1,1,38,10,0
0-1,-2,30,0,-10
0-1,-3,22,-10,-20
0-1,-1,31,10,30
0-1,-1,34,10,10
0-1,-7,22,10,10
1-0,-1,43,-10,0
1-0,2,26,0,10
1-0,2,0,-10,10
0-1,1,36,10,0
0-1,-2,21,-10,-30
0-1,-5,3,0,-10
0-1,3,29,30,40
0-1,-4,40,10,0
0-1,-10,35,10,20
1-0,1,4,-10,10
1-0,5,25,10,10
1-0,3,6,20,0
1-0,4,2,10,10
1-0,4,15,-10,-10
1-0,6,2,0,0
0-1,3,30,-20,-20
0-1,7,25,0,10
0-1,6,34,10,0
1-0,3,28,0,10
1-0,2,21,0,-10
1-0,2,14,10,30
1-0,1,19,10,20
1-0,5,2,0,20
1-0,5,0,0,0
0-1,-3,36,0,-20
0-1,-4,29,0,-20
0-1,-4,19,-10,-10
0-1,-5,5,-20,-20
0-1,1,42,0,20
0-1,-5,2,0,10
0-1,-2,1,0,0
1-0,1,40,10,20
1-0,4,4,0,-10
0-1,-5,40,0,-10
0-1,-18,35,-20,-20
0-1,-19,5,-10,-10
0-1,-6,43,0,10
0-1,-14,34,0,20
1/2-1/2,-2,38,-20,0
1/2-1/2,-1,2,20,30
1/2-1/2,-5,1,10,20
1/2-1/2,-5,1,10,20
1/2-1/2,-5,1,10,20
1/2-1/2,-10,22,10,20
0-1,-8,44,20,20
0-1,-8,23,20,30
0-1,-5,32,20,20
0-1,-1,1,20,-10
0-1,-3,38,-10,-20
0-1,-4,0,10,-10
1-0,10,16,-10,0
1-0,2,16,-10,-10
1-0,2,18,-10,-10
1-0,9,27,0,-20
1-0,13,35,0,0
1-0,11,28,0,0
0-1,2,36,-10,-20
0-1,-3,0,0,-10
1-0,3,31,0,-10
1-0,7,3,10,20
1-0,13,43,0,20
0-1,-2,44,10,0
0-1,-3,37,-10,-10
0-1,-9,34,0,-30
0-1,-12,35,-10,-10
0-1,-14,5,-10,-30
0-1,3,50,20,10
0-1,-1,33,20,30
0-1,2,34,0,0
0-1,6,3,0,30
0-1,1,17,0,-10
0-1,-1,16,-10,-20
0-1,-5,19,-10,0
0-1,-5,0,0,-10
0-1,4,38,10,10
0-1,-3,40,0,-10
0-1,-3,41,0,0
0-1,-3,2,0,0
0-1,9,25,0,20
0-1,-4,1,0,20
1-0,2,5,-10,-10
1-0,-3,33,-20,-20
1-0,-3,35,-10,-20
1-0,-3,29,0,-10
1-0,-3,31,0,-10
0-1,-9,49,-20,-10
0-1,-13,50,0,-10
0-1,-13,22,10,0
1-0,5,31,-10,-10
1-0,5,35,0,30
1-0,10,24,0,10
1-0,18,14,10,20
1-0,-1,30,10,0
1-0,2,35,0,-20
1-0,3,28,10,10
1-0,2,15,10,10
1-0,1,5,-10,-20
1-0,2,5,0,10
1-0,1,1,0,0
1-0,9,0,0,10
1-0,-1,30,0,-10
1-0,6,25,-10,-20
1-0,10,2,-10,-20
1-0,10,41,-10,-30
0-1,1,45,10,0
0-1,1,4,10,30
1-0,2,22,10,10
1-0,5,36,0,-20
0-1,-8,40,0,10
0-1,-12,14,0,-20
1-0,5,34,-10,-10
1-0,10,2,0,10
1-0,11,4,0,10
1-0,11,1,0,20
1-0,-1,44,0,-10
1-0,8,34,10,10
0-1,4,3,0,0
0-1,-7,39,0,10
1-0,-3,42,-20,-20
1-0,-3,44,-10,-20
1-0,-3,28,-20,-20
1-0,-3,4,-10,-20
1-0,-1,21,0,-20
0-1,-6,39,0,10
1-0,-2,45,0,0
1-0,-1,32,0,-10
1-0,10,0,20,20
0-1,-9,29,10,-30
1-0,-1,35,-10,-40
1-0,6,34,-10,-20
1-0,6,29,-10,-10
0-1,5,28,10,10
0-1,-3,23,20,20
0-1,-4,14,-20,-20
1-0,1,31,0,50
1-0,4,40,0,10
1-0,-1,14,-10,-20
1-0,5,10,20,20
1-0,6,4,10,10
1-0,1,41,10,-10
1-0,1,45,10,10
1-0,2,1,0,10
1-0,12,30,-10,-10
1-0,11,0,10,-10
1-0,-1,4,10,20
1-0,1,34,-10,0
1-0,-3,32,0,-10
1-0,-3,0,0,-10
1-0,-1,41,0,10
1-0,4,16,0,10
1-0,4,23,10,20
1-0,2,40,0,-10
1-0,7,15,10,10
1-0,8,12,0,20
1-0,8,5,0,20
1-0,16,0,0,10
1-0,4,30,20,30
1-0,5,29,20,40
1-0,6,4,10,30
1-0,6,40,10,30
0-1,9,30,10,30
1-0,1,22,10,0
1-0,3,34,-10,-20
1-0,12,4,0,0
1-0,6,36,0,0
0-1,-3,43,-10,-20
0-1,-3,38,-10,-10
1-0,-2,44,0,0
1-0,-2,32,0,-10
1-0,-4,38,0,-40
1-0,-1,0,-10,-40
0-1,-1,27,10,-10
0-1,-1,21,-10,0
0-1,-2,9,-10,-10
0-1,-2,9,0,-10
1-0,2,31,-10,0
1-0,1,41,-10,0
1-0,4,34,10,10
1-0,3,25,20,30
1-0,9,29,10,0
1-0,17,0,10,10
1-0,-1,26,-10,0
1-0,1,29,0,-10
0-1,1,40,20,40
0-1,9,32,10,20
0-1,8,35,10,-10
0-1,8,38,10,-10
0-1,3,29,-10,10
0-1,-8,33,10,30
0-1,-17,42,10,20
0-1,-17,1,10,20
0-1,-13,10,0,0
0-1,-1,38,0,-10
0-1,-6,32,0,-10
0-1,3,32,-10,-10
0-1,-3,39,-10,-10
0-1,-5,27,0,-20
0-1,-5,0,10,-20
0-1,-4,17,0,20
0-1,-1,6,0,10
1-0,1,35,10,-10
1-0,3,25,-10,0
1-0,3,3,0,-10
1-0,7,15,0,0
0-1,1,4,10,10
0-1,-1,46,-10,0
0-1,-1,0,0,20
1-0,9,25,10,20
1-0,5,17,10,10
1-0,7,21,20,10
1-0,4,15,20,40
1-0,11,8,20,40
1-0,18,0,10,30
0-1,-1,41,-20,-30
0-1,-1,30,0,0
0-1,-1,0,0,0
1-0,3,30,0,-30
1-0,5,26,20,-10
1-0,5,5,10,-10
1-0,9,37,0,-30
0-1,1,44,0,20
0-1,-2,35,0,-10
1/2-1/2,2,33,0,20
1/2-1/2,-3,24,20,30
1/2-1/2,-4,25,-10,-20
1/2-1/2,-7,0,-10,-10
1-0,5,32,0,0
1-0,12,19,-10,0
1-0,2,0,10,30
0-1,-1,39,0,-10
0-1,-3,4,-20,-10
0-1,-8,31,20,10
1-0,6,21,10,-10
1-0,9,26,-10,-10
1-0,9,31,-10,-10
1-0,15,4,-10,0
1-0,25,2,10,40
1-0,25,2,10,40
0-1,1,30,-10,0
0-1,-1,33,-10,10
0-1,-6,33,0,0
0-1,-7,26,-10,-20
0-1,-8,15,-10,-10
1-0,1,41,10,20
1-0,-2,2,10,10
0-1,2,28,10,20
0-1,-1,32,0,-10
0-1,-1,31,0,-10
1-0,2,5,-10,0
1-0,4,39,0,10
1-0,8,3,0,10
1-0,-2,40,-10,-30
1-0,3,25,-10,-20
1/2-1/2,-1,27,-20,-30
1/2-1/2,2,6,-10,-20
1/2-1/2,3,7,10,10
1/2-1/2,4,18,10,10
1/2-1/2,2,3,10,10
0-1,-4,36,10,20
0-1,-3,34,10,30
0-1,-4,24,0,0
0-1,-2,23,0,20
0-1,-8,23,-20,-20
0-1,-8,0,-10,-10
0-1,-3,45,-10,-10
0-1,-3,41,-20,-30
0-1,-3,34,-10,-30
0-1,-3,17,0,0
0-1,-5,6,0,-10
1-0,-1,0,10,10
1-0,1,31,10,30
1-0,1,30,0,-10
1-0,7,4,20,20
1-0,5,13,20,20
1-0,5,5,10,30
0-1,7,30,0,0
0-1,-4,55,0,-10
0-1,-9,16,0,0
0-1,-4,19,-10,-30
1-0,-1,2,-20,-20
1-0,5,21,10,-10
1-0,3,11,0,10
1-0,4,5,0,10
0-1,-2,56,-10,0
0-1,-4,47,-30,-30
0-1,-8,18,0,-10
1-0,-2,32,0,-10
1-0,-1,38,10,0
1-0,3,8,0,0
0-1,-4,43,10,0
0-1,-5,31,-10,-30
0-1,-5,35,0,-20
0-1,-6,1,0,-10
0-1,3,1,-10,-10
1-0,9,27,10,20
1-0,1,47,10,20
1-0,1,27,0,10
0-1,-1,27,0,0
0-1,-3,35,10,-10
0-1,-5,16,0,-20
1-0,5,31,10,30
1-0,4,19,10,30
1-0,4,2,10,10
0-1,-3,34,0,0
0-1,-1,36,0,30
0-1,-1,42,0,0
0-1,-2,34,0,-10
0-1,-7,44,0,-10
0-1,-8,0,0,-10
0-1,-3,46,-10,-20
0-1,-2,0,0,-10
1-0,2,35,0,0
1-0,3,22,0,-10
1-0,3,0,0,0
1-0,2,25,-10,-10
1-0,5,27,-10,-10
0-1,4,38,20,10
0-1,1,44,0,-10
0-1,1,5,0,-20
0-1,1,22,-10,-20
0-1,2,17,0,0
0-1,2,23,0,0
0-1,-4,0,0,20
0-1,-2,37,0,0
0-1,-3,0,0,0
0-1,-9,22,10,0
0-1,2,42,0,0
0-1,-2,0,0,20
0-1,-2,30,10,0
0-1,-6,19,0,-30
0-1,-2,35,0,20
0-1,-2,27,10,20
0-1,-10,23,0,0
1-0,-2,43,-10,-30
1-0,-2,38,-10,-30
1-0,-1,36,20,20
1-0,-1,39,20,20
1-0,4,18,10,20
1-0,14,0,10,10
0-1,-4,38,-30,-30
0-1,-7,38,-30,-30
0-1,-17,52,0,-30
0-1,-30,0,0,-20
0-1,1,33,10,10
0-1,-11,35,10,0
0-1,-16,36,0,-10
0-1,-17,0,0,-20
0-1,-1,28,-10,0
0-1,-8,41,-20,-10
0-1,-5,33,10,20
0-1,1,33,20,20
0-1,-1,38,-20,0
0-1,-20,10,-10,-20
1-0,5,26,10,20
1-0,13,22,0,0
1-0,13,0,-10,0
1-0,-4,1,0,0
0-1,-1,37,0,-10
0-1,-2,38,0,20
0-1,-8,53,0,-10
0-1,-16,0,0,0
0-1,-4,42,-20,-30
0-1,-4,0,-20,-30
0-1,2,31,10,30
0-1,3,33,10,10
0-1,3,38,0,0
1-0,1,3,0,-10
1-0,8,27,-10,-40
1-0,8,10,0,10
1-0,13,2,0,20
1-0,21,0,0,20
0-1,-1,41,10,10
0-1,-7,24,10,-10
0-1,-6,0,10,20
0-1,1,48,0,-30
0-1,1,30,0,10
0-1,1,15,0,0
0-1,-1,10,0,10
0-1,-7,27,0,10
0-1,-7,0,0,10
0-1,1,31,10,0
0-1,1,20,0,-10
0-1,-5,5,10,-20
0-1,2,6,0,-10
1-0,5,41,-10,-10
1-0,-3,4,10,10
1-0,5,20,10,20
1-0,5,0,0,0
1-0,2,40,10,10
1-0,2,45,10,10
1-0,2,42,-20,0
1-0,7,48,0,-10
0-1,2,37,-10,-40
0-1,1,27,-10,-30
0-1,2,5,-20,-30
0-1,-5,6,10,10
0-1,-5,5,0,10
1-0,8,30,10,10
1-0,8,42,0,10
0-1,3,30,0,-10
0-1,-9,31,-10,-20
0-1,-11,29,0,-10
0-1,-22,54,-10,-30
0-1,-22,0,0,-10
0-1,-3,43,-20,-30
0-1,-8,35,-10,-30
0-1,-8,0,-10,-30
1-0,-2,32,-10,-10
1-0,-1,33,0,0
1-0,13,17,0,0
1-0,1,31,10,10
1-0,8,14,20,10
1-0,8,0,10,10
1-0,-1,37,10,20
1-0,6,25,0,10
1-0,2,26,0,20
1-0,2,27,10,10
1-0,1,31,0,-10
1-0,4,26,-10,-10
1-0,9,1,0,0
1-0,9,0,0,-10
1-0,1,11,0,0
1-0,2,6,0,0
0-1,-1,32,10,-10
0-1,5,3,20,30
0-1,-5,24,-10,0
0-1,-7,15,0,-30
0-1,-16,34,0,-20
0-1,-24,0,-10,-10
1-0,4,35,0,0
1-0,8,21,10,10
1-0,14,3,0,-10
1-0,15,2,0,20
1/2-1/2,-2,42,-10,-10
1/2-1/2,-2,33,0,-10
1/2-1/2,-6,35,0,-20
1/2-1/2,-8,30,-10,-10
1/2-1/2,-16,55,-20,-30
1/2-1/2,-21,0,-10,-30
1-0,6,23,10,0
1-0,13,35,10,-20
0-1,-3,44,0,0
0-1,-8,41,-10,-20
0-1,-8,38,-10,-30
0-1,-8,0,-10,-30
1-0,1,38,0,10
1-0,1,0,0,-20
0-1,1,33,10,20
0-1,-3,33,10,20
0-1,-2,28,10,10
0-1,-9,2,0,0
1-0,5,27,-20,-20
1-0,1,35,0,0
1-0,9,2,0,20
0-1,1,30,0,10
0-1,9,32,-10,0
0-1,-2,22,0,-10
0-1,-3,11,-10,-10
0-1,-6,37,10,0
0-1,-7,1,10,0
0-1,-1,18,0,0
0-1,3,19,10,-10
0-1,3,0,10,10
1-0,17,15,10,10
1-0,1,45,0,-10
1-0,3,36,10,10
1-0,20,0,0,10
1-0,1,44,-10,10
1-0,1,37,-10,-10
